month,value,term,lane,theme,geo,source,notes
2015-08,64.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2015-09,58.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2015-10,92.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2015-11,69.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2015-12,59.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2016-01,53.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2016-02,55.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2016-03,70.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2016-04,70.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2016-05,78.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2016-06,66.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2016-07,73.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2016-08,61.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2016-09,66.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2016-10,100.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2016-11,67.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2016-12,57.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2017-01,54.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2017-02,49.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2017-03,69.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2017-04,78.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2017-05,86.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2017-06,83.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2017-07,85.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2017-08,59.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2017-09,62.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2017-10,97.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2017-11,68.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2017-12,71.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2018-01,60.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2018-02,63.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2018-03,75.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2018-04,75.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
